developer_id,project_id,rating
1 ,25380 ,8
1 ,35505 ,1 
1 ,76048 ,4
1 ,420897 ,9
80 ,202 ,2
80 ,281 ,2
80 ,392 ,8
80 ,708 ,9
80 ,867 ,1
80 ,931 ,7
80 ,940 ,8
80 ,1018 ,8
80 ,1028 ,5
80 ,1285 ,7
80 ,1321 ,3
80 ,1342 ,5
80 ,1362 ,8
80 ,1406 ,7
80 ,1432 ,7
80 ,1566 ,6
80 ,1852 ,2
80 ,2414 ,9
80 ,2876 ,7
80 ,3377 ,5
80 ,3482 ,9
80 ,3787 ,2
80 ,4399 ,3
80 ,4492 ,5
80 ,5136 ,5
80 ,5161 ,1
80 ,5759 ,3
80 ,6197 ,1
80 ,6945 ,5
80 ,7061 ,4
80 ,7182 ,1
80 ,7430 ,4
80 ,7466 ,3
80 ,8088 ,7
80 ,8525 ,7
80 ,8763 ,3
80 ,9709 ,2
80 ,9951 ,8
80 ,10097 ,3
80 ,10109 ,8
80 ,12414 ,5
80 ,12789 ,3
80 ,16265 ,3
80 ,16592 ,3
80 ,17384 ,2
80 ,17730 ,2
80 ,19611 ,9
80 ,19618 ,8
80 ,19632 ,2
80 ,20477 ,5
80 ,21128 ,9
80 ,22168 ,1
80 ,22867 ,8
80 ,24679 ,6
80 ,26017 ,4
80 ,26285 ,6
80 ,28784 ,7
80 ,29172 ,8
80 ,32456 ,1
80 ,32504 ,6
80 ,35579 ,9
80 ,35612 ,7
80 ,39450 ,2
80 ,40346 ,8
80 ,51257 ,5
80 ,51362 ,1
80 ,62372 ,9
80 ,64355 ,3
80 ,84634 ,4
80 ,102849 ,7
80 ,138398 ,9
80 ,140327 ,9
80 ,144863 ,9
80 ,159278 ,1
80 ,176301 ,3
80 ,189470 ,7
80 ,234228 ,3
80 ,235724 ,2
80 ,248754 ,4
80 ,257278 ,3
80 ,299907 ,1
80 ,307879 ,5
80 ,422032 ,3
80 ,480194 ,9
80 ,551701 ,9
80 ,669383 ,3
80 ,695802 ,3
80 ,725352 ,1
80 ,854933 ,5
86 ,23 ,3
86 ,931 ,7
86 ,1566 ,3
86 ,3668 ,5
86 ,4307 ,2
86 ,10042 ,3
86 ,10192 ,2
86 ,16542 ,8
86 ,26839 ,5
86 ,27969 ,2
86 ,31283 ,4
86 ,34781 ,7
86 ,54676 ,2
86 ,65995 ,6
86 ,788594 ,5
86 ,844919 ,3
89 ,2021 ,4
89 ,11289 ,9
168 ,40 ,2
168 ,114 ,7
168 ,280 ,7
168 ,334 ,6
168 ,337 ,8
168 ,540 ,2
168 ,544 ,9
168 ,568 ,7
168 ,940 ,1
168 ,1018 ,3
168 ,1233 ,3 
168 ,1434 ,4
168 ,1566 ,1
168 ,1714 ,1
168 ,1941 ,4
168 ,2087 ,4
168 ,2691 ,8
168 ,2733 ,4
168 ,3137 ,4
168 ,3246 ,9
168 ,3377 ,8
168 ,3787 ,1
168 ,3912 ,9
168 ,4307 ,8
168 ,4718 ,1
168 ,4846 ,9
168 ,4964 ,1
168 ,6252 ,8
168 ,6301 ,8
168 ,6313 ,9
168 ,6395 ,7
168 ,6419 ,6
168 ,7074 ,8
168 ,9951 ,4
168 ,10439 ,8
168 ,11788 ,1
168 ,12952 ,9
168 ,17090 ,1
168 ,17530 ,3
168 ,18045 ,4
168 ,18788 ,4
168 ,19093 ,8
168 ,19771 ,9
168 ,21443 ,5
168 ,21713 ,6
168 ,22525 ,1
168 ,22556 ,1
168 ,22613 ,9
168 ,34031 ,2
168 ,35590 ,9
168 ,36252 ,9
168 ,36629 ,9
168 ,37216 ,7
168 ,41671 ,4
168 ,41682 ,2
168 ,42780 ,8
168 ,52321 ,6
168 ,56326 ,2
168 ,56717 ,5
168 ,59166 ,2
168 ,60678 ,9
168 ,70710 ,7
168 ,75465 ,5
168 ,81640 ,3
168 ,92157 ,4
168 ,117961 ,4
168 ,120425 ,8
168 ,126900 ,3
168 ,126917 ,6
168 ,148871 ,2
168 ,165034 ,7
168 ,173313 ,1
168 ,193689 ,5
168 ,220001 ,9
